#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample43	5.16.20	3	2020	PLP	Bud	2	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-2	PLP20
Sample44	5.16.20	3	2020	PLP	Bud	3	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-3	PLP20
Sample45	5.16.20	3	2020	PLP	Bud	4	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-4	PLP20
Sample46	5.16.20	3	2020	PLP	Stem	1	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-1	PLP20
Sample47	5.16.20	3	2020	PLP	Stem	2	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-2	PLP20
Sample48	5.16.20	3	2020	PLP	Stem	3	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-3	PLP20
Sample49	5.16.20	3	2020	PLP	Stem	4	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-4	PLP20
Sample50	5.18.20	3	2020	SWMREC	Bud	1	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-1	SWMREC
Sample51	5.18.20	3	2020	SWMREC	Bud	2	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-2	SWMREC
Sample52	5.18.20	3	2020	SWMREC	Bud	3	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-3	SWMREC
Sample53	5.18.20	3	2020	SWMREC	Bud	4	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-4	SWMREC
Sample54	5.18.20	3	2020	SWMREC	Flower	1	True Sample	Run1	Fruit	Bloom	2	5-18-20-FM-1	SWMREC
Sample55	5.18.20	3	2020	SWMREC	Flower	2	True Sample	Run1	Fruit	Bloom	2	5-18-20-FM-2	SWMREC
Sample56	5.18.20	3	2020	SWMREC	Flower	3	True Sample	Run1	Fruit	Bloom	2	5-18-20-FM-3	SWMREC
Sample57	5.18.20	3	2020	SWMREC	Flower	4	True Sample	Run1	Fruit	Bloom	2	5-18-20-FM-4	SWMREC
Sample58	5.18.20	3	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Bloom	2	5-18-20-LM-1	SWMREC
Sample59	5.18.20	3	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Bloom	2	5-18-20-LM-2	SWMREC
Sample60	5.18.20	3	2020	SWMREC	Leaf	3	True Sample	Run2	Leaf	Bloom	2	5-18-20-LM-3	SWMREC
Sample61	5.18.20	3	2020	SWMREC	Leaf	4	True Sample	Run2	Leaf	Bloom	2	5-18-20-LM-4	SWMREC
Sample62	5.18.20	3	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Bloom	2	5-18-20-SM-1	SWMREC
Sample63	5.18.20	3	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Bloom	2	5-18-20-SM-2	SWMREC
Sample64	5.18.20	3	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Bloom	2	5-18-20-SM-3	SWMREC
Sample65	5.18.20	3	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Bloom	2	5-18-20-SM-4	SWMREC
Sample66	5.20.21	3	2021	PLP	Bud	1	True Sample	Run2	Fruit	Prebloom	2	5-20-21-BP-1	PLP21
Sample67	5.20.21	3	2021	PLP	Bud	2	True Sample	Run2	Fruit	Prebloom	2	5-20-21-BP-2	PLP21
Sample68	5.20.21	3	2021	PLP	Bud	3	True Sample	Run2	Fruit	Prebloom	2	5-20-21-BP-3	PLP21
Sample69	5.20.21	3	2021	PLP	Bud	4	True Sample	Run2	Fruit	Prebloom	2	5-20-21-BP-4	PLP21
Sample70	5.20.21	3	2021	PLP	Flower	1	True Sample	Run2	Fruit	Bloom	2	5-20-21-FP-1	PLP21
Sample71	5.20.21	3	2021	PLP	Flower	2	True Sample	Run2	Fruit	Bloom	2	5-20-21-FP-2	PLP21
Sample72	5.20.21	3	2021	PLP	Flower	3	True Sample	Run2	Fruit	Bloom	2	5-20-21-FP-3	PLP21
Sample73	5.20.21	3	2021	PLP	Flower	4	True Sample	Run2	Fruit	Bloom	2	5-20-21-FP-4	PLP21
Sample74	5.20.21	3	2021	PLP	Leaf	1	True Sample	Run2	Leaf	Bloom	2	5-20-21-LP-1	PLP21
Sample75	5.20.21	3	2021	PLP	Leaf	2	True Sample	Run2	Leaf	Bloom	2	5-20-21-LP-2	PLP21
Sample76	5.20.21	3	2021	PLP	Leaf	3	True Sample	Run2	Leaf	Bloom	2	5-20-21-LP-3	PLP21
Sample77	5.20.21	3	2021	PLP	Leaf	4	True Sample	Run2	Leaf	Bloom	2	5-20-21-LP-4	PLP21
Sample78	5.20.21	3	2021	PLP	Stem	1	True Sample	Run2	Stem	Bloom	2	5-20-21-SP-1	PLP21
Sample79	5.20.21	3	2021	PLP	Stem	2	True Sample	Run2	Stem	Bloom	2	5-20-21-SP-2	PLP21
Sample80	5.20.21	3	2021	PLP	Stem	3	True Sample	Run2	Stem	Bloom	2	5-20-21-SP-3	PLP21
Sample81	5.20.21	3	2021	PLP	Stem	4	True Sample	Run2	Stem	Bloom	2	5-20-21-SP-4	PLP21
Sample82	5.23.20	4	2020	PLP	Flower	2	True Sample	Run1	Fruit	Bloom	2	5-23-20-FP-2	PLP20
Sample83	5.23.20	4	2020	PLP	Flower	4	True Sample	Run1	Fruit	Bloom	2	5-23-20-FP-4	PLP20
Sample84	5.27.21	4	2021	PLP	Flower	1	True Sample	Run1	Fruit	Bloom	2	5-27-21-FP-1	PLP21
Sample85	5.27.21	4	2021	PLP	Flower	2	True Sample	Run1	Fruit	Bloom	2	5-27-21-FP-2	PLP21
Sample86	5.27.21	4	2021	PLP	Flower	3	True Sample	Run1	Fruit	Bloom	2	5-27-21-FP-3	PLP21
Sample87	5.27.21	4	2021	PLP	Flower	4	True Sample	Run1	Fruit	Bloom	2	5-27-21-FP-4	PLP21
