OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_1279,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria,unspecified_saprotroph,epiphyte,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_1283,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Junghuhnia,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,corticioid,poroid
OTU_1286,Fungi,Basidiomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1291,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,wood_saprotroph,plant_pathogen,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_1293,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,plant_pathogen,wood_saprotroph,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_1297,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_1304,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,wood_saprotroph,litter_saprotroph,0,"wood,leaf/fruit/seed",non-aquatic,filamentous_mycelium,agaricoid,gills
OTU_1312,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1313,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,wood_saprotroph,plant_pathogen,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_1314,Fungi,Basidiomycota,Exobasidiomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1316,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_1317,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Mycoacia,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,corticioid,hydnoid
OTU_1318,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1319,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,rust,other
